Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,7294,750,29,48,82,70,72,91,59,90,53,52,62,42
Baja California,5464,1567,99,113,188,148,119,143,143,160,119,125,123,87
Baja California Sur,12907,632,37,48,66,44,62,68,60,77,47,35,49,39
Campeche,12306,939,56,72,117,68,79,89,74,84,78,67,90,65
Coahuila,7873,1977,96,136,187,182,202,224,173,210,149,158,138,122
Colima,10684,624,42,55,64,45,57,56,37,71,52,52,56,37
Chiapas,6697,2918,208,212,387,250,238,261,195,272,213,244,237,201
Chihuahua,13197,4452,264,342,481,385,368,535,437,442,295,263,332,308
Distrito Federal,22034,19421,1357,1539,2180,1634,1692,2035,1643,1907,1406,1462,1601,965
Durango,17240,2671,174,222,300,222,217,286,179,326,199,212,233,101
Guanajuato,11933,5999,301,444,727,450,475,651,532,645,435,473,507,359
Guerrero,13808,4487,286,308,463,377,468,539,380,428,342,320,364,212
Hidalgo,21411,5076,314,365,624,390,411,516,407,542,407,380,457,263
Jalisco,11758,7947,615,639,899,673,656,874,578,712,578,583,673,467
M‚xico,13536,19556,1437,1431,2189,1659,1690,2143,1656,1871,1518,1484,1648,830
Michoac n,10527,4436,273,313,459,346,370,474,334,443,368,360,440,256
Morelos,13102,2225,144,130,237,195,189,215,182,264,185,168,181,135
Nayarit,9524,944,57,77,96,81,71,99,83,95,74,82,80,49
Nuevo Le¢n,10229,4274,271,298,437,374,373,445,397,401,322,368,395,193
Oaxaca,12089,4465,246,330,496,366,390,508,312,459,376,378,370,234
Puebla,20181,11061,697,749,1119,902,949,1169,877,1203,949,932,919,596
Quer‚taro,11197,1761,128,110,183,145,163,196,152,153,148,139,133,111
Quintana Roo,17397,1832,112,123,185,120,156,214,126,193,142,173,160,128
San Luis Potos¡,18214,4369,293,318,482,399,370,479,365,451,330,331,329,222
Sinaloa,6097,1675,99,91,160,113,151,192,134,166,154,131,141,143
Sonora,4753,1164,114,87,264,153,148,92,78,118,22,32,29,27
Tabasco,8687,1777,194,139,231,137,133,202,109,158,119,129,147,79
Tamaulipas,10703,3325,202,226,353,258,227,358,281,318,248,313,364,177
Tlaxcala,19268,2034,127,144,262,158,181,212,175,180,162,166,164,103
Veracruz,11438,8321,592,673,1000,727,748,890,676,778,632,616,609,380
Yucat n,14690,2621,136,176,250,187,239,272,163,329,212,250,260,147
Zacatecas,8924,1263,89,94,149,93,102,136,123,145,100,81,91,60
