Estado,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,55,80,97,83,58,119,82,79,88,77,42,54
Baja California,183,194,196,161,152,189,137,145,163,119,129,106
Baja California Sur,33,50,46,51,51,56,57,39,84,27,24,44
Campeche,59,69,67,59,68,69,58,48,80,51,48,52
Coahuila,160,178,282,205,193,285,233,160,198,162,140,191
Colima,45,52,61,32,33,49,32,29,48,29,30,31
Chiapas,127,159,218,180,225,187,141,160,189,144,119,171
Chihuahua,297,258,408,343,369,545,388,388,387,274,240,300
Distrito Federal,1 059,961,1 333,974,969,1 092,994,901,1 002,807,786,840
Durango,145,184,242,174,208,235,152,193,170,123,155,104
Guanajuato,317,374,583,378,392,489,384,385,445,351,322,379
Guerrero,203,291,406,312,338,400,337,305,335,302,307,233
Hidalgo,246,294,447,316,289,328,276,237,284,257,199,204
Jalisco,527,572,669,552,552,655,480,468,580,396,380,369
M‚xico,1 194,1189,1 425,1 127,1 041,1 432,1 055,1 147,1 374,1 046,885,745
Michoac n,291,290,447,313,316,387,280,344,332,264,247,247
Morelos,125,136,178,114,124,172,118,138,149,126,97,123
Nayarit,112,145,133,91,116,131,104,84,79,57,54,59
Nuevo Le¢n,238,261,504,354,370,532,374,369,345,228,270,213
Oaxaca,270,345,518,369,405,508,313,321,400,329,277,309
Puebla,527,586,917,698,679,751,575,526,654,556,440,443
Quer‚taro,80,89,131,78,87,94,82,81,80,65,86,55
Quintana Roo,101,94,129,104,134,122,113,97,123,133,107,111
San Luis Potos¡,256,330,443,296,322,344,303,261,307,211,211,255
Sinaloa,114,147,155,128,141,153,185,127,132,131,96,108
Sonora,225,236,308,247,279,353,298,262,260,147,164,205
Tabasco,88,112,140,135,67,94,76,77,87,81,64,61
Tamaulipas,196,222,293,190,240,357,267,241,231,180,159,114
Tlaxcala,79,104,128,99,96,122,84,80,122,69,57,62
Veracruz,466,538,781,598,556,703,490,479,510,392,370,371
Yucat n,126,190,269,211,190,212,161,184,200,151,124,146
Zacatecas,92,71,146,83,94,102,113,84,111,54,51,74
