ESTADO,SALUD,IMSS.ORD,ISSSTE,IMSS.OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,TOTAL
Aguascalientes,316,176,0,N.A.,0,N.A.,1,N.A.,2,495
Baja California,513,399,18,14,N.A.,N.A.,6,3,102,1055
Baja California Sur,349,18,32,N.A.,N.A.,N.A.,2,1,N.A.,402
Campeche,290,31,27,57,0,17,2,1,50,475
Coahuila,541,452,31,159,2,N.A.,8,N.A.,126,1319
Colima,156,63,4,N.A.,0,N.A.,1,5,0,229
Chiapas,772,14,40,321,N.A.,12,14,0,5,1178
Chihuahua,1329,83,22,163,N.A.,N.A.,4,N.A.,170,1771
Distrito Federal,7096,260,380,0,5,57,47,7,74,7926
Durango,1279,81,34,185,0,N.A.,2,N.A.,1,1582
Guanajuato,2702,551,39,0,N.A.,39,0,N.A.,60,3391
Guerrero,1494,445,36,1,N.A.,N.A.,8,0,0,1984
Hidalgo,1889,84,30,154,45,20,0,N.A.,10,2232
Jalisco,2112,931,28,0,0,0,3,0,345,3419
M‰xico,7693,355,93,0,93,N.A.,41,N.A.,358,8633
Michoacæn,1868,145,34,432,N.A.,N.A.,1,0,N.A.,612
Morelos,824,98,30,2,N.A.,N.A.,1,N.A.,N.A.,955
Nayarit,405,82,21,94,6,N.A.,0,0,13,621
Nuevo Le¢n,1293,348,7,0,0,10,0,N.A.,640,1005
Oaxaca,938,100,61,1 120,1,27,4,14,9,1154
Puebla,3902,385,58,415,0,9,7,N.A.,192,1066
Quer‰taro,398,249,27,0,0,N.A.,N.A.,N.A.,2,676
Quintana Roo,606,211,38,N.A.,N.A.,N.A.,1,1,N.A.,857
San Luis Potosç,1478,300,23,327,N.A.,2,0,N.A.,4,656
Sinaloa,490,91,59,158,4,0,9,4,147,962
Sonora,1388,155,29,0,N.A.,N.A.,12,2,135,333
Tabasco,620,8,4,N.A.,N.A.,79,0,0,34,745
Tamaulipas,1122,172,51,185,10,42,16,1,25,502
Tlaxcala,693,62,4,1,0,N.A.,1,N.A.,0,761
Veracruz,2906,274,46,635,1,131,3,19,N.A.,1109
Yucatæn,903,115,14,333,2,N.A.,6,0,3,1376
Zacatecas,483,45,14,191,0,N.A.,1,N.A.,1,735
