Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,4,131,219,122,86,57,171,31,40,20,33,0,914
Baja California,10,211,308,253,158,127,423,102,137,36,108,1,1 874
Baja California Sur,0,52,94,68,49,41,145,30,36,13,34,0,562
Campeche,4,66,117,97,69,58,164,28,60,22,43,0,728
Coahuila,5,290,569,349,200,130,409,86,134,70,142,3,2 387
Colima,1,51,90,66,44,38,109,14,23,11,22,2,471
Chiapas,1,140,308,288,184,159,465,103,158,61,150,3,2 020
Chihuahua,4,459,808,561,309,255,862,238,326,147,227,1,4 197
Distrito Federal,17,1 131,1 684,1 424,1 196,934,2 713,559,976,355,728,1,11 718
Durango,7,298,473,372,241,143,248,79,91,38,95,0,2 085
Guanajuato,18,554,1 011,728,371,297,907,161,279,119,354,0,4 799
Guerrero,0,296,691,618,328,207,733,165,270,128,332,1,3 769
Hidalgo,3,274,530,431,323,243,712,176,256,124,305,0,3 377
Jalisco,22,743,1 253,875,513,409,1 239,220,427,153,343,3,6 200
M‚xico,35,1 286,2 135,1 880,1 483,969,3 076,655,888,372,749,132,13 660
Michoac n,12,368,786,537,274,221,697,160,262,113,322,6,3 758
Morelos,2,148,287,195,151,124,302,86,126,35,141,3,1 600
Nayarit,7,113,246,187,82,87,216,46,65,27,88,1,1 165
Nuevo Le¢n,9,411,743,591,369,319,801,178,262,130,245,0,4 058
Oaxaca,5,276,667,585,350,308,855,242,364,169,540,3,4 364
Puebla,11,547,1 150,956,738,530,1 558,370,594,277,617,4,7 352
Quer‚taro,1,101,180,127,97,79,210,35,77,29,72,0,1 008
Quintana Roo,3,152,216,177,106,117,357,54,99,36,51,0,1 368
San Luis Potos¡,11,344,652,419,332,214,737,164,248,113,305,0,3 539
Sinaloa,4,160,341,257,111,77,287,63,127,66,124,0,1 617
Sonora,17,389,644,414,229,193,545,133,196,78,144,2,2 984
Tabasco,2,91,152,159,109,81,238,62,76,37,75,0,1 082
Tamaulipas,8,288,535,350,210,181,521,106,215,71,201,4,2 690
Tlaxcala,1,76,192,127,123,89,221,62,79,38,93,1,1 102
Veracruz,16,463,1 051,767,487,404,1 351,315,576,241,581,2,6 254
Yucat n,2,208,402,283,211,176,474,90,143,51,124,0,2 164
Zacatecas,4,117,219,161,102,73,183,41,64,35,75,1,1 075
