Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,3,86,129,88,64,36,92,14,22,11,20,0,565
Baja California,4,131,183,164,90,71,229,49,68,17,60,0,1 066
Baja California Sur,0,30,63,47,25,22,75,18,18,6,20,0,324
Campeche,2,46,70,61,32,23,79,8,24,12,20,0,377
Coahuila,3,185,364,253,112,66,206,40,58,37,82,2,1 408
Colima,0,34,48,52,18,23,53,5,12,6,11,2,264
Chiapas,0,76,205,180,94,75,241,45,89,33,80,1,1 119
Chihuahua,3,283,525,376,172,150,485,111,135,87,118,0,2 445
Distrito Federal,9,673,1 064,916,718,515,1 396,262,480,176,368,0,6 577
Durango,6,174,295,260,149,83,141,47,41,24,56,0,1 276
Guanajuato,14,361,683,475,218,159,453,73,133,62,162,0,2 793
Guerrero,0,188,415,401,177,107,351,57,120,54,190,1,2 061
Hidalgo,1,159,332,284,179,117,297,64,127,65,156,0,1 781
Jalisco,14,444,811,586,328,258,707,109,196,83,191,2,3 729
M‚xico,18,792,1 278,1 174,781,504,1 436,275,375,193,386,0,7 212
Michoac n,5,243,484,340,160,117,361,73,111,53,180,6,2 133
Morelos,2,91,187,126,84,63,148,31,59,15,77,3,886
Nayarit,7,70,151,119,52,49,125,22,35,16,58,0,704
Nuevo Le¢n,4,232,456,380,210,201,427,72,106,60,138,0,2 286
Oaxaca,4,185,413,323,166,143,344,95,146,81,247,0,2 147
Puebla,5,316,709,571,410,255,681,171,253,148,301,2,3 822
Quer‚taro,0,67,113,91,53,46,115,10,34,10,37,0,576
Quintana Roo,3,96,123,118,52,78,192,24,45,22,28,0,781
San Luis Potos¡,7,217,417,280,193,113,369,65,114,56,159,0,1 990
Sinaloa,1,88,222,159,67,42,136,30,46,32,59,0,882
Sonora,8,232,404,252,118,107,289,64,91,36,78,1,1 680
Tabasco,1,48,83,98,60,46,113,24,40,18,44,0,575
Tamaulipas,4,176,327,216,101,89,219,28,84,29,109,2,1 384
Tlaxcala,1,46,110,84,69,45,93,30,33,18,44,0,573
Veracruz,13,289,642,458,263,209,596,136,240,107,318,1,3 272
Yucat n,1,129,218,174,130,90,238,39,74,27,65,0,1 185
Zacatecas,3,76,139,118,61,39,90,20,27,17,36,0,626
