Estado,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,112,93,130,124,131,116,145,123,111,117,74,67
Baja California,207,214,194,223,211,219,226,155,172,174,81,49
Baja California Sur,58,72,77,84,99,90,118,99,110,91,52,52
Campeche,65,55,52,62,94,51,80,59,50,71,48,28
Coahuila,230,216,250,239,338,236,336,259,274,353,192,155
Colima,53,47,44,62,76,54,67,66,68,70,44,35
Chiapas,183,153,192,149,229,176,238,142,161,193,131,90
Chihuahua,312,236,266,325,393,339,350,214,285,317,227,140
Distrito Federal,1122,905,918,929,1289,1042,1257,997,1028,1229,657,705
Durango,207,193,170,171,241,224,235,188,188,239,149,128
Guanajuato,547,533,541,541,637,557,689,498,462,600,433,312
Guerrero,242,268,244,266,391,325,462,329,247,260,172,155
Hidalgo,299,340,374,286,351,330,397,304,315,355,219,184
Jalisco,627,583,623,651,820,617,753,600,515,657,429,334
M‚xico,1492,1161,1318,1241,1685,1439,1742,1398,1395,1739,1255,821
Michoac n,421,325,399,338,515,351,499,352,381,408,318,268
Morelos,138,110,124,117,144,102,122,117,112,114,71,68
Nayarit,104,64,90,96,136,88,119,71,88,85,89,50
Nuevo Le¢n,489,367,415,418,552,442,481,441,349,379,268,224
Oaxaca,384,340,375,388,510,374,436,311,338,410,288,268
Puebla,615,581,601,591,756,587,619,534,565,599,432,306
Quer‚taro,99,114,125,145,182,172,175,153,140,153,89,81
Quintana Roo,137,179,151,139,188,127,165,134,132,165,101,85
San Luis Potos¡,361,331,420,337,489,418,463,372,355,456,300,230
Sinaloa,199,187,148,196,254,218,252,192,154,167,152,89
Sonora,348,288,273,300,372,332,403,327,238,304,213,193
Tabasco,94,65,83,93,114,78,95,65,70,94,56,46
Tamaulipas,277,241,253,303,333,337,390,261,244,319,209,164
Tlaxcala,83,64,102,69,79,74,84,86,98,89,65,40
Veracruz,621,548,610,562,630,572,652,463,518,576,382,378
Yucat n,191,197,145,170,251,207,239,195,194,240,167,118
Zacatecas,105,79,120,94,153,113,150,127,110,151,60,56
