Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,51,31,35,43,45,79,80,71,33,76,35,53
Baja California,98,94,118,104,90,87,124,64,69,99,71,74
Baja California Sur,28,34,40,41,33,50,56,51,24,50,23,46
Campeche,29,42,30,46,39,32,66,29,32,39,46,44
Coahuila,114,130,101,166,139,141,158,75,125,166,74,102
Colima,61,33,42,48,40,36,42,41,28,39,29,35
Chiapas,85,78,113,154,131,107,107,66,64,109,78,62
Chihuahua,111,111,106,124,114,156,159,162,106,112,85,99
Distrito Federal,640,579,612,701,578,589,792,626,622,808,546,592
Durango,111,116,101,130,140,120,169,118,84,119,83,66
Guanajuato,281,278,336,374,272,315,337,290,270,299,222,268
Guerrero,119,112,126,154,127,128,142,105,110,177,132,106
Hidalgo,130,166,162,192,176,146,222,187,162,217,141,158
Jalisco,358,312,361,437,363,379,455,378,353,437,297,347
M‚xico,791,701,771,944,812,814,1018,704,693,870,641,517
Michoac n,233,186,220,251,198,219,238,185,183,254,179,221
Morelos,66,53,57,83,70,78,89,72,58,84,59,79
Nayarit,36,41,58,64,58,50,69,62,49,47,24,31
Nuevo Le¢n,181,181,197,263,299,256,313,220,210,284,173,167
Oaxaca,183,161,159,192,184,173,198,162,177,227,154,162
Puebla,294,281,279,356,319,309,328,260,256,316,225,237
Quer‚taro,102,88,72,90,93,89,108,88,88,92,46,90
Quintana Roo,70,75,60,85,102,100,130,87,93,91,84,77
San Luis Potos¡,187,175,171,247,215,223,262,192,184,224,153,175
Sinaloa,95,60,81,85,90,101,94,96,72,92,53,87
Sonora,135,134,135,168,169,208,204,146,138,130,110,130
Tabasco,38,33,57,52,66,61,74,45,41,49,36,58
Tamaulipas,113,102,155,193,164,166,219,150,122,141,77,87
Tlaxcala,50,42,51,61,47,58,54,61,44,49,36,33
Veracruz,298,283,225,305,283,268,312,244,229,265,215,211
Yucat n,139,116,101,142,135,131,143,110,103,155,108,112
Zacatecas,64,51,65,64,55,63,78,66,45,96,47,49
