Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,27,17,25,40,26,27,34,25,36,18,19,29
Baja California,54,76,65,96,89,83,84,72,95,62,76,78
Baja California Sur,24,13,14,29,27,34,28,23,22,23,13,23
Campeche,49,23,22,48,27,32,39,10,28,40,35,28
Coahuila,55,64,66,105,70,95,95,64,74,74,90,75
Colima,14,6,12,19,22,22,20,12,15,14,24,27
Chiapas,70,76,92,120,104,75,88,67,82,59,59,58
Chihuahua,103,111,122,197,209,162,187,162,175,126,140,155
Distrito Federal,377,465,502,643,453,475,593,431,507,432,390,515
Durango,50,60,54,106,83,92,106,75,87,64,60,44
Guanajuato,125,162,182,254,215,191,231,221,212,156,138,182
Guerrero,82,171,121,175,152,136,169,104,139,134,114,133
Hidalgo,114,146,153,238,171,149,196,127,187,127,140,140
Jalisco,156,148,186,293,179,206,223,182,208,192,164,216
M‚xico,520,522,540,829,560,545,706,585,668,549,440,547
Michoac n,112,153,134,214,177,135,188,127,176,123,111,159
Morelos,49,67,46,81,62,61,73,44,59,68,46,75
Nayarit,22,33,29,45,46,36,40,36,40,43,39,47
Nuevo Le¢n,98,128,135,184,144,186,190,135,152,152,118,140
Oaxaca,163,174,200,299,216,159,191,142,226,173,153,181
Puebla,280,305,353,456,365,320,416,311,390,313,235,316
Quer‚taro,38,49,34,55,47,43,56,46,68,52,43,45
Quintana Roo,59,58,45,72,46,43,66,40,51,36,36,44
San Luis Potos¡,87,128,139,199,145,128,168,140,162,144,118,159
Sinaloa,52,46,57,75,63,65,83,62,85,52,60,76
Sonora,105,103,85,132,121,126,157,110,118,85,88,112
Tabasco,30,54,55,75,46,50,38,32,44,45,41,37
Tamaulipas,65,81,92,154,180,125,132,127,131,94,71,72
Tlaxcala,39,51,40,56,44,52,49,34,63,53,44,51
Veracruz,232,280,250,378,333,286,302,275,258,236,183,240
Yucat n,68,66,99,137,88,86,92,67,92,74,64,86
Zacatecas,30,21,32,45,38,38,50,37,51,36,32,33
