Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,32,24,32,38,49,56,58,47,40,36,21,35
Baja California,51,65,79,99,72,64,101,55,64,81,46,72
Baja California Sur,17,24,27,33,23,26,33,24,16,45,19,24
Campeche,32,29,35,36,25,35,56,30,24,39,31,32
Coahuila,90,108,81,141,115,104,107,58,73,83,87,97
Colima,30,25,32,34,32,35,47,28,19,26,20,20
Chiapas,102,60,90,110,101,70,63,64,54,121,60,57
Chihuahua,93,102,62,99,114,98,123,106,83,92,63,67
Distrito Federal,527,442,475,624,523,544,626,530,509,649,446,440
Durango,77,78,84,89,92,75,111,58,80,91,58,67
Guanajuato,220,197,228,265,189,228,245,183,181,240,162,175
Guerrero,108,94,99,136,114,86,134,105,109,160,99,89
Hidalgo,108,120,131,181,150,148,173,160,156,158,157,144
Jalisco,234,235,262,293,250,273,308,260,253,297,216,216
M‚xico,673,597,626,762,691,647,798,605,596,716,528,457
Michoac n,163,151,162,190,157,176,164,153,150,161,129,195
Morelos,51,63,66,76,50,58,95,79,42,58,42,60
Nayarit,37,34,35,51,35,35,61,50,33,25,19,21
Nuevo Le¢n,150,152,158,197,214,203,254,183,137,225,121,117
Oaxaca,162,168,182,175,153,157,220,145,144,206,162,180
Puebla,265,258,244,342,278,251,331,233,253,363,203,207
Quer‚taro,46,62,66,77,63,63,63,54,66,52,45,66
Quintana Roo,75,54,42,70,70,93,88,85,90,78,57,57
San Luis Potos¡,147,138,161,172,174,190,211,146,167,190,129,162
Sinaloa,80,64,61,82,60,76,95,62,71,62,61,59
Sonora,104,104,109,131,119,147,125,97,100,137,261,89
Tabasco,25,33,40,56,36,45,51,27,46,31,31,63
Tamaulipas,83,92,124,133,140,143,181,114,112,128,98,74
Tlaxcala,42,35,53,42,34,60,48,36,30,49,20,38
Veracruz,283,243,270,308,255,279,286,220,194,285,202,180
Yucat n,102,114,106,114,89,114,125,91,105,133,95,83
Zacatecas,50,46,48,47,47,41,50,48,40,58,37,35
