Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS
Aguascalientes,341,135,0,0,0,0,0,0,0
Baja California,564,217,19,16,0,0,9,1,46
Baja California Sur,320,27,44,0,0,0,3,0,0
Campeche,442,0,8,30,0,8,3,5,42
Coahuila,536,244,18,128,0,0,8,0,261
Colima,267,79,9,0,1,0,2,4,0
Chiapas,1062,32,31,391,0,7,24,0,10
Chihuahua,1770,411,24,167,0,0,0,0,248
Distrito Federal,9960,589,516,0,5,57,57,21,45
Durango,1358,19,34,175,0,0,7,0,0
Guanajuato,2776,525,61,0,0,26,4,0,9
Guerrero,2044,253,81,0,0,0,13,4,0
Hidalgo,2425,65,23,189,49,30,3,0,16
Jalisco,2667,1487,23,0,7,1,9,2,756
M‚xico,9590,511,155,0,123,2,64,0,404
Michoac n,1932,114,56,351,0,0,0,8,0
Morelos,1077,119,70,0,0,0,0,0,0
Nayarit,337,83,26,88,1,0,0,0,9
Nuevo Le¢n,1084,561,18,0,1,28,2,0,848
Oaxaca,1146,80,55,868,3,32,19,11,10
Puebla,4717,556,70,472,1,14,4,0,157
Quer‚taro,574,396,44,0,0,0,0,0,0
Quintana Roo,727,334,40,0,0,0,4,8,0
San Luis Potos¡,1645,392,53,335,0,0,3,0,18
Sinaloa,480,74,48,144,22,0,5,7,176
Sonora,220,405,20,0,0,0,2,0,27
Tabasco,894,1,14,0,0,26,0,4,55
Tamaulipas,1070,147,30,286,0,45,7,0,76
Tlaxcala,946,114,8,0,0,0,1,0,0
Veracruz,3500,436,28,329,1,126,6,16,0
Yucat n,969,151,53,350,2,0,4,0,2
Zacatecas,383,91,7,231,1,0,2,0,0
