Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,428,81,29,S.R.,0,S.R.,2,S.R.,39
Baja California,490,55,26,48,S.R.,S.R.,7,0,92
Baja California Sur,266,48,36,S.R.,S.R.,S.R.,4,4,S.R.
Campeche,200,38,11,63,0,15,0,1,18
Coahuila,770,7,40,153,0,S.R.,10,S.R.,272
Colima,266,73,8,S.R.,0,S.R.,1,2,9
Chiapas,654,65,37,254,S.R.,17,0,0,8
Chihuahua,767,328,36,156,S.R.,S.R.,8,S.R.,190
Distrito Federal,5 607,298,573,0,9,28,18,13,130
Durango,1 057,9,8,183,0,S.R.,S.R.,0,1
Guanajuato,2 898,159,74,0,S.R.,27,4,S.R.,139
Guerrero,968,62,95,12,S.R.,S.R.,8,6,0
H idalgo,1 672,42,13,136,12,21,0,S.R.,18
Jalisco,2 356,630,39,0,0,1,0,0,586
M ‚xico,7 926,151,120,19,193,S.R.,65,S.R.,319
M ichoac n,1 705,349,35,534,S.R.,S.R.,0,4,S.R.
M orelos,674,3,32,0,S.R.,S.R.,5,S.R.,S.R.
Nayarit,331,54,28,167,1,S.R.,0,0,0
Nuevo L e¢n,1 797,128,19,0,S.R.,18,5,S.R.,261
Oaxaca,629,93,74,1 132,1,29,22,14,38
Puebla,2 145,57,54,328,0,15,7,S.R.,141
Quer‚taro,653,107,42,0,2,S.R.,0,S.R.,17
Quintana Roo,700,162,105,S.R.,S.R.,S.R.,0,2,4
San Luis Potos¡,1 477,204,61,415,S.R.,7,0,S.R.,16
Sinaloa,512,58,28,170,4,0,1,2,180
Sonora,1 424,141,19,0,S.R.,S.R.,0,4,286
T abasco,355,0,4,S.R.,S.R.,73,1,2,25
T amaulipas,1 159,35,24,129,1,88,0,12,62
Tlaxcala,504,9,9,0,0,S.R.,0,S.R.,0
Veracruz,2 051,58,46,810,1,158,8,7,5
Yucat n,798,28,26,395,0,S.R.,5,0,8
Z acatecas,450,6,17,263,0,S.R.,5,S.R.,6
