Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,5,119,202,151,75,47,118,21,38,10,41,0,827
Baja California,9,239,397,307,172,134,483,111,139,59,125,3,2 178
Baja California Sur,0,63,121,81,49,49,162,41,51,14,33,0,664
Campeche,4,71,139,97,82,75,198,52,60,26,67,0,871
Coahuila,1,253,476,339,179,117,387,77,130,64,102,1,2 126
Colima,1,60,105,82,35,31,105,22,40,10,26,0,517
Chiapas,3,152,368,339,189,159,461,100,129,61,157,7,2 125
Chihuahua,12,432,701,561,414,298,835,298,332,168,244,11,4 306
Distrito Federal,18,1 201,1 897,1 651,1 382,1 124,3 008,624,968,408,803,3,13 087
Durango,4,296,442,359,238,200,312,120,105,61,87,0,2 224
Guanajuato,15,611,1 141,799,421,324,994,179,291,137,434,0,5 346
Guerrero,9,257,644,589,315,181,657,140,264,138,353,3,3 550
Hidalgo,2,330,676,492,353,251,881,221,332,140,371,0,4 049
Jalisco,33,752,1 262,845,499,388,1 127,221,311,165,371,0,5 974
M‚xico,35,1 451,2 523,2 188,1 660,1 186,3 460,704,1 026,415,898,9,15 555
Michoac n,14,460,813,606,354,257,778,182,271,101,344,1,4 181
Morelos,1,184,304,236,135,101,309,53,120,46,138,0,1 627
Nayarit,1,113,207,164,68,67,184,51,67,33,86,0,1 041
Nuevo Le¢n,15,490,754,573,327,291,825,197,262,120,219,2,4 075
Oaxaca,3,304,714,580,347,264,924,231,375,193,592,0,4 527
Puebla,15,632,1 341,1 096,812,642,1 887,432,626,322,744,10,8 559
Quer‚taro,9,117,242,196,115,90,250,55,106,34,77,0,1 291
Quintana Roo,1,138,258,197,96,180,322,69,94,26,61,1,1 443
San Luis Potos¡,8,343,740,562,355,221,695,165,265,108,376,0,3 838
Sinaloa,3,177,400,281,106,95,329,89,120,66,154,0,1 820
Sonora,11,445,668,494,246,173,519,133,206,96,185,6,3 182
Tabasco,2,107,191,165,115,84,297,58,102,34,80,1,1 236
Tamaulipas,24,297,579,396,202,158,548,127,217,73,197,3,2 821
Tlaxcala,1,120,191,179,125,109,257,58,90,44,107,1,1 282
Veracruz,13,564,1 137,912,589,447,1 451,329,603,248,631,11,6 935
Yucat n,1,209,367,312,276,175,462,93,157,69,153,2,2 276
Zacatecas,2,141,268,147,90,52,195,43,55,25,78,0,1 096
