Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,3,182,269,247,115,111,215,46,84,22,49,0,1 343
Baja California,4,195,336,288,161,135,524,127,178,65,112,0,2 125
Baja California Sur,2,102,165,143,81,72,229,54,72,24,58,0,1 002
Campeche,3,79,122,81,56,59,153,44,57,14,46,1,715
Coahuila,6,388,675,465,254,206,560,112,192,69,147,4,3 078
Colima,4,71,117,82,53,57,158,24,50,22,47,1,686
Chiapas,4,147,321,253,176,178,518,93,145,62,138,2,2 037
Chihuahua,5,349,629,564,267,199,645,155,277,100,206,8,3 404
Distrito Federal,24,1 113,1 656,1 447,1 162,963,2 794,668,1 059,384,808,0,12 078
Durango,5,255,468,373,226,165,414,102,168,65,92,0,2 333
Guanajuato,13,736,1 303,987,532,406,1 148,250,413,151,411,0,6 350
Guerrero,3,294,595,469,275,203,650,144,291,130,305,2,3 361
Hidalgo,3,296,620,488,334,253,826,158,321,106,348,1,3 754
Jalisco,24,852,1 397,1 113,565,541,1 428,275,446,184,383,1,7 209
M‚xico,34,1 474,2 580,2 312,1 712,1 360,3 782,832,1 155,461,963,21,16 686
Michoac n,16,514,812,751,456,351,756,226,270,122,300,1,4 575
Morelos,4,147,251,175,107,94,270,66,74,39,110,2,1 339
Nayarit,1,124,216,160,81,54,226,29,81,33,75,0,1 080
Nuevo Le¢n,25,479,778,650,412,364,974,280,379,148,293,43,4 825
Oaxaca,5,331,659,599,324,273,864,221,398,166,580,2,4 422
Puebla,17,516,966,929,619,547,1 459,328,561,265,577,2,6 786
Quer‚taro,8,143,278,231,163,111,365,75,111,39,104,0,1 628
Quintana Roo,11,172,254,231,129,168,445,70,102,50,71,0,1 703
San Luis Potos¡,8,402,740,618,442,287,927,201,354,168,385,0,4 532
Sinaloa,8,277,419,311,134,146,407,113,171,62,159,1,2 208
Sonora,7,430,676,507,287,295,645,234,255,80,172,3,3 591
Tabasco,1,67,157,138,69,65,223,42,74,32,83,2,953
Tamaulipas,9,330,557,467,224,227,710,160,295,106,245,1,3 331
Tlaxcala,0,69,106,149,99,68,207,49,64,31,91,0,933
Veracruz,11,504,965,821,573,445,1 370,323,595,282,621,2,6 512
Yucat n,5,228,376,296,255,162,501,120,154,83,132,2,2 314
Zacatecas,3,194,312,156,105,79,214,45,88,40,81,1,1 318
