Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,4,81,127,95,50,35,75,11,20,13,19,0,5 3 0
Baja California,2,107,202,206,91,62,266,45,63,27,62,0,1 1 3 3
Baja California Sur,0,33,50,54,23,14,72,12,28,10,14,0,3 1 0
Campeche,1,27,83,57,35,29,78,28,45,16,37,0,4 3 6
Coahuila,6,215,404,292,140,77,242,34,67,24,77,2,1 5 8 0
Colima,0,24,71,51,19,21,75,6,15,9,26,0,3 1 7
Chiapas,4,76,178,169,79,78,202,37,72,26,76,0,9 9 7
Chihuahua,8,244,449,323,133,149,371,109,145,53,138,4,2 1 2 6
Distrito Federal,12,579,891,885,651,544,1 149,257,389,148,357,0,5 8 6 2
Durango,1,165,282,228,104,65,116,48,44,31,47,0,1 1 3 1
Guanajuato,5,324,681,475,225,189,439,70,120,64,192,0,2 7 8 4
Guerrero,0,152,396,350,151,144,370,82,95,45,155,1,1 9 4 1
Hidalgo,2,168,310,258,150,111,289,73,125,62,154,0,1 7 0 2
Jalisco,19,461,800,646,335,258,679,105,155,78,213,4,3 7 5 3
M‚xico,21,835,1 239,1 214,803,518,1 387,259,420,195,402,4,7 2 9 7
Michoac n,8,264,445,341,192,121,329,70,99,56,155,2,2 0 8 2
Morelos,2,86,187,138,80,55,136,32,36,28,68,1,8 4 9
Nayarit,2,85,113,79,55,33,89,18,32,11,39,0,5 5 6
Nuevo Le¢n,14,247,501,427,263,191,437,128,163,81,96,0,2 5 4 8
Oaxaca,133,160,329,282,167,113,356,70,141,80,244,1,2 0 7 6
Puebla,3,325,621,601,355,231,656,136,254,111,267,2,3 5 6 2
Quer‚taro,3,64,140,107,72,43,123,15,29,12,30,0,6 3 8
Quintana Roo,3,69,159,112,61,88,201,22,42,14,27,1,7 9 9
San Luis Potos¡,5,214,421,333,196,129,318,53,103,62,152,0,1 9 8 6
Sinaloa,3,111,180,176,56,38,128,34,45,18,60,1,8 5 0
Sonora,4,246,394,364,193,153,328,88,81,32,87,1,1 9 7 1
Tabasco,1,53,103,70,33,35,129,26,40,26,45,1,5 6 2
Tamaulipas,5,143,307,228,127,67,204,41,79,44,84,1,1 3 3 0
Tlaxcala,0,62,94,71,52,41,100,16,32,16,35,0,5 1 9
Veracruz,9,263,521,479,251,182,504,124,213,110,262,2,2 9 2 0
Yucat n,1,140,236,208,123,103,249,55,73,35,71,0,1 2 9 4
Zacatecas,3,83,165,111,58,35,102,22,32,21,47,1,6 8 0
