Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,6,109,92,124,59,48,111,15,33,10,25,0,632
Baja California,5,123,177,148,77,62,260,56,81,37,66,0,1 092
Baja California Sur,0,48,76,75,23,40,128,25,32,10,19,0,476
Campeche,0,35,78,74,34,38,106,22,39,12,36,0,474
Coahuila,2,143,309,269,150,111,267,65,74,36,64,1,1 491
Colima,1,49,72,95,37,34,91,19,34,12,30,0,474
Chiapas,1,97,198,170,119,81,265,44,84,26,68,1,1 154
Chihuahua,5,151,287,246,91,85,255,78,105,39,102,1,1 445
Distrito Federal,16,656,1 123,1 026,812,697,1 688,361,554,231,515,6,7 685
Durango,3,127,287,224,123,89,242,80,91,29,62,0,1 357
Guanajuato,9,365,719,621,334,230,716,97,170,76,204,1,3 542
Guerrero,3,133,309,251,131,101,252,64,82,56,156,0,1 538
Hidalgo,1,193,317,322,195,134,394,93,154,74,181,1,2 059
Jalisco,13,478,809,685,392,358,958,146,254,120,262,2,4 477
M‚xico,12,763,1 438,1 562,1 038,863,1 803,405,607,263,517,5,9 276
Michoac n,11,253,505,404,213,212,478,82,147,73,187,2,2 567
Morelos,3,77,154,131,70,55,178,32,56,22,66,4,848
Nayarit,2,54,116,93,44,44,96,29,37,19,55,0,589
Nuevo Le¢n,11,270,489,425,236,198,558,115,177,89,167,9,2 744
Oaxaca,4,175,334,299,165,159,404,94,161,89,248,0,2 132
Puebla,7,251,541,535,330,328,686,159,253,103,265,2,3 460
Quer‚taro,2,114,157,158,95,93,241,30,66,32,58,0,1 046
Quintana Roo,2,98,158,148,100,110,275,53,56,18,36,0,1 054
San Luis Potos¡,3,218,438,405,217,193,448,98,136,71,181,0,2 408
Sinaloa,9,98,228,182,72,66,171,40,46,30,64,0,1 006
Sonora,7,229,385,295,151,117,320,64,105,49,83,2,1 807
Tabasco,2,68,97,83,29,43,113,30,67,20,57,1,610
Tamaulipas,10,179,298,262,133,103,333,86,118,43,124,0,1 689
Tlaxcala,1,49,104,107,54,42,103,18,43,22,43,0,586
Veracruz,3,268,545,457,293,208,571,152,272,92,276,1,3 138
Yucat n,3,174,224,218,139,111,288,65,99,59,114,1,1 495
Zacatecas,1,98,140,144,66,45,122,25,33,16,53,0,743
