Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,3,38,57,47,45,40,88,20,32,7,25,0,402
Baja California,2,59,73,43,45,28,132,39,65,21,28,0,535
Baja California Sur,0,25,28,31,27,20,71,19,28,9,13,0,271
Campeche,0,28,44,38,31,31,70,21,32,14,24,0,333
Coahuila,1,99,130,111,94,64,216,66,72,40,41,1,935
Colima,0,25,29,27,14,17,50,12,20,7,11,0,212
Chiapas,1,46,109,102,70,67,216,47,72,24,48,0,802
Chihuahua,5,85,179,117,89,64,265,69,120,39,100,0,1 132
Distrito Federal,11,424,628,517,433,444,1 270,382,569,207,345,11,5 241
Durango,0,87,151,114,91,68,169,55,81,29,51,0,896
Guanajuato,7,232,423,267,173,150,502,138,220,52,204,2,2 370
Guerrero,0,68,156,135,82,75,219,57,94,30,114,0,1 030
Hidalgo,1,107,230,166,130,126,424,128,175,77,154,0,1 718
Jalisco,23,269,396,248,211,186,511,135,185,68,175,2,2 409
M‚xico,9,604,931,784,706,591,1 996,466,721,251,449,2,7 510
Michoac n,6,195,308,209,155,127,394,117,161,75,139,0,1 886
Morelos,2,32,87,58,39,45,133,25,50,22,51,2,546
Nayarit,2,38,57,40,39,36,77,25,44,15,46,0,419
Nuevo Le¢n,4,137,208,135,123,99,390,94,160,54,129,12,1 545
Oaxaca,2,96,244,190,143,125,488,126,216,95,269,1,1 995
Puebla,4,157,290,230,205,192,637,166,245,92,251,0,2 469
Quer‚taro,2,52,80,86,60,46,153,39,79,19,37,0,653
Quintana Roo,0,56,104,106,77,75,206,54,79,26,34,1,818
San Luis Potos¡,0,137,237,200,142,88,422,104,160,57,163,0,1 710
Sinaloa,0,80,143,81,53,44,148,51,72,29,47,0,748
Sonora,6,153,243,150,127,105,232,88,87,34,93,0,1 318
Tabasco,2,23,44,32,27,28,98,22,47,13,31,0,367
Tamaulipas,5,102,164,133,117,105,341,71,164,46,100,1,1 349
Tlaxcala,2,29,43,42,43,32,129,34,46,19,34,0,453
Veracruz,3,180,334,308,202,207,775,228,349,136,285,0,3 007
Yucat n,1,82,155,106,122,83,267,63,92,39,66,0,1 076
Zacatecas,1,68,92,73,36,35,121,21,47,11,42,50,597
