Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,5,47,70,58,46,38,100,34,39,15,16,0,468
Baja California,2,71,76,85,67,62,229,59,90,35,69,4,849
Baja California Sur,0,19,35,37,23,22,89,19,31,13,23,0,311
Campeche,0,26,43,43,23,36,115,26,41,15,35,1,404
Coahuila,0,115,190,143,112,77,227,57,109,41,71,2,1 144
Colima,2,31,39,33,19,29,103,20,36,10,26,0,348
Chiapas,2,55,146,115,89,83,228,58,75,37,63,1,952
Chihuahua,2,120,159,117,60,61,257,71,111,45,99,0,1 102
Distrito Federal,11,519,707,533,573,499,1 585,414,722,300,466,6,6 335
Durango,5,84,147,117,79,77,203,64,110,30,44,0,960
Guanajuato,4,267,401,305,207,179,542,140,202,92,174,0,2 513
Guerrero,2,68,190,144,118,85,310,77,121,68,147,3,1 333
H idalgo,5,118,216,155,134,122,481,117,205,77,155,1,1 786
Jalisco,12,298,495,352,239,213,710,160,268,101,246,3,3 097
M ‚xico,19,563,864,850,746,635,2 055,492,720,263,487,2,7 696
M ichoac n,12,169,274,215,172,153,454,106,165,74,157,0,1 951
M orelos,0,60,91,94,79,51,174,53,68,19,50,1,740
Nayarit,10,41,59,42,38,37,94,34,41,18,22,0,436
Nuevo Le¢n,4,160,295,221,184,133,482,157,228,89,155,3,2 111
Oaxaca,1,98,254,176,158,151,446,146,257,97,270,0,2 054
Puebla,5,202,327,309,321,254,865,208,328,120,288,1,3 228
Quer‚taro,2,54,95,79,72,48,178,49,55,25,66,0,723
Quintana Roo,2,78,97,82,58,77,275,57,79,26,27,1,859
San Luis Potos¡,1,149,272,234,135,151,443,100,232,67,203,0,1 987
Sinaloa,2,65,116,104,73,56,168,53,95,32,69,0,833
Sonora,3,145,240,179,102,91,287,65,116,32,89,174,1 523
Tabasco,1,29,59,56,42,39,115,30,54,26,32,1,484
Tamaulipas,5,111,153,161,118,103,346,104,135,64,122,0,1 422
Tlaxcala,0,24,55,41,42,31,120,37,63,24,50,0,487
Veracruz,2,176,363,268,207,211,759,212,355,143,308,1,3 005
Yucat n,4,120,181,132,110,121,296,51,112,51,93,0,1 271
Zacatecas,0,59,84,61,45,43,115,36,51,19,34,0,547
