Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,29,48,82,70,72,91,59,90,53,52,62,42
Baja California,99,113,188,148,119,143,143,160,119,125,123,87
Baja California Sur,37,48,66,44,62,68,60,77,47,35,49,39
Campeche,56,72,117,68,79,89,74,84,78,67,90,65
Coahuila,96,136,187,182,202,224,173,210,149,158,138,122
Colima,42,55,64,45,57,56,37,71,52,52,56,37
Chiapas,208,212,387,250,238,261,195,272,213,244,237,201
Chihuahua,264,342,481,385,368,535,437,442,295,263,332,308
Distrito Federal,1357,1539,2180,1634,1692,2035,1643,1907,1406,1462,1601,965
Durango,174,222,300,222,217,286,179,326,199,212,233,101
Guanajuato,301,444,727,450,475,651,532,645,435,473,507,359
Guerrero,286,308,463,377,468,539,380,428,342,320,364,212
Hidalgo,314,365,624,390,411,516,407,542,407,380,457,263
Jalisco,615,639,899,673,656,874,578,712,578,583,673,467
M‚xico,1437,1431,2189,1659,1690,2143,1656,1871,1518,1484,1648,830
Michoac n,273,313,459,346,370,474,334,443,368,360,440,256
Morelos,144,130,237,195,189,215,182,264,185,168,181,135
Nayarit,57,77,96,81,71,99,83,95,74,82,80,49
Nuevo Le¢n,271,298,437,374,373,445,397,401,322,368,395,193
Oaxaca,246,330,496,366,390,508,312,459,376,378,370,234
Puebla,697,749,1119,902,949,1169,877,1203,949,932,919,596
Quer‚taro,128,110,183,145,163,196,152,153,148,139,133,111
Quintana Roo,112,123,185,120,156,214,126,193,142,173,160,128
San Luis Potos¡,293,318,482,399,370,479,365,451,330,331,329,222
Sinaloa,99,91,160,113,151,192,134,166,154,131,141,143
Sonora,114,87,264,153,148,92,78,118,22,32,29,27
Tabasco,194,139,231,137,133,202,109,158,119,129,147,79
Tamaulipas,202,226,353,258,227,358,281,318,248,313,364,177
Tlaxcala,127,144,262,158,181,212,175,180,162,166,164,103
Veracruz,592,673,1000,727,748,890,676,778,632,616,609,380
Yucat n,136,176,250,187,239,272,163,329,212,250,260,147
Zacatecas,89,94,149,93,102,136,123,145,100,81,91,60
