Estado,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,42,50,78,66,91,120,68,77,91,92,63,73
Baja California,137,166,207,158,149,183,170,166,198,163,118,115
Baja California Sur,43,49,58,46,33,48,50,51,50,45,45,33
Campeche,34,49,83,76,77,99,63,66,63,54,58,55
Coahuila,180,196,286,298,280,319,230,181,234,168,160,143
Colima,28,43,64,37,56,59,51,46,63,47,37,51
Chiapas,125,146,166,177,185,198,149,114,138,158,106,137
Chihuahua,269,303,432,407,392,433,303,284,300,211,156,208
Distrito Federal,848,811,1137,970,905,1052,825,888,959,752,659,787
Durango,147,120,157,169,201,245,162,162,170,135,131,96
Guanajuato,307,358,547,452,421,544,424,381,473,390,297,349
Guerrero,261,347,459,302,278,358,277,294,373,286,277,181
Hidalgo,169,247,329,277,276,363,295,264,332,239,204,216
Jalisco,474,511,620,464,514,641,504,573,603,424,443,425
M‚xico,988,986,1418,1164,1127,1466,1098,1133,1307,1063,846,942
Michoac n,215,261,446,337,367,381,274,321,371,215,242,267
Morelos,107,117,169,101,113,172,154,154,144,119,83,89
Nayarit,55,82,104,100,103,105,70,80,73,61,45,60
Nuevo Le¢n,283,261,418,367,520,473,358,343,595,519,246,268
Oaxaca,229,334,423,295,285,485,346,464,360,271,265,308
Puebla,491,494,640,552,600,711,577,586,662,484,439,430
Quer‚taro,75,69,160,76,104,97,83,88,138,73,79,89
Quintana Roo,90,96,128,127,115,184,101,97,106,92,126,137
San Luis Potos¡,253,240,386,296,290,415,280,295,347,314,241,292
Sinaloa,120,90,158,100,163,181,137,139,164,84,90,95
Sonora,200,207,309,318,266,415,335,298,351,221,185,267
Tabasco,80,60,113,85,80,113,103,73,94,67,83,91
Tamaulipas,180,162,227,268,223,324,219,241,208,186,144,165
Tlaxcala,44,76,115,100,90,123,102,93,112,80,57,65
Veracruz,385,374,615,484,492,560,469,455,509,421,379,420
Yucat n,128,167,219,211,225,290,208,197,228,185,126,149
Zacatecas,54,85,108,105,104,148,118,111,122,73,65,70
