Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,50,43,79,52,87,69,49,102,92,52,57,37
Baja California,83,98,98,72,86,106,72,102,70,82,85,43
Baja California Sur,25,18,28,31,30,30,30,41,25,21,30,16
Campeche,25,31,41,32,35,47,15,21,16,30,32,23
Coahuila,113,114,153,147,143,189,144,198,146,134,121,78
Colima,31,29,40,35,36,30,38,34,24,30,24,26
Chiapas,65,79,116,93,73,112,98,90,65,80,105,60
Chihuahua,70,110,113,98,97,193,132,182,89,83,113,71
Distrito Federal,530,582,701,660,603,813,605,726,608,597,671,479
Durango,91,106,140,105,134,181,128,167,138,129,139,67
Guanajuato,172,247,313,284,292,284,278,321,236,238,253,184
Guerrero,90,135,146,99,124,135,105,139,105,109,109,71
Hidalgo,133,122,202,161,176,179,158,223,145,162,162,109
Jalisco,334,301,442,327,292,412,348,413,305,270,347,234
M‚xico,668,608,866,748,676,867,730,875,713,621,825,456
Michoac n,159,166,231,183,212,231,168,206,148,126,164,128
Morelos,69,69,111,80,68,96,77,100,69,64,82,53
Nayarit,34,44,61,35,23,56,48,43,43,25,43,28
Nuevo Le¢n,166,208,255,272,245,324,262,284,237,219,246,124
Oaxaca,147,137,201,139,146,158,147,205,142,150,194,133
Puebla,225,237,336,269,256,316,198,322,254,270,250,168
Quer‚taro,68,68,87,105,75,113,77,101,84,93,100,74
Quintana Roo,61,92,102,86,82,95,78,85,75,68,78,56
San Luis Potos¡,157,153,254,201,210,243,165,260,178,208,218,139
Sinaloa,51,75,127,105,99,145,113,143,103,75,71,66
Sonora,109,150,157,166,141,192,141,164,140,94,109,96
Tabasco,28,39,55,52,41,42,36,43,38,26,40,13
Tamaulipas,86,112,204,158,168,198,156,176,126,113,123,89
Tlaxcala,25,36,58,45,42,53,40,59,45,42,48,27
Veracruz,189,217,250,270,238,290,187,212,186,151,171,122
Yucat n,99,100,168,135,116,140,112,121,78,101,110,103
Zacatecas,44,65,79,55,58,85,57,75,63,40,57,46
