Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,39,31,30,34,41,37,53,37,31,35,24,10
Baja California,48,62,44,36,50,50,45,45,35,46,42,32
Baja California Sur,18,21,15,26,23,32,23,31,30,16,15,21
Campeche,29,34,29,40,27,36,38,15,18,15,26,26
Coahuila,90,88,82,82,126,105,91,44,61,80,47,39
Colima,16,10,17,11,25,20,31,17,17,16,12,20
Chiapas,85,59,52,90,76,67,78,64,65,72,60,34
Chihuahua,102,85,84,81,158,111,117,96,85,91,67,55
Distrito Federal,424,376,371,415,559,400,544,432,419,535,399,367
Durango,73,64,54,69,79,90,107,65,63,102,84,46
Guanajuato,183,167,168,192,258,229,264,224,160,200,185,140
Guerrero,76,76,75,88,119,94,94,71,81,112,81,63
H idalgo,138,137,140,150,175,166,179,125,134,157,134,83
Jalisco,183,164,169,174,196,183,299,248,223,209,148,213
M ‚xico,655,595,536,640,817,666,866,564,614,669,497,391
M ichoac n,143,151,133,144,231,160,197,162,153,166,131,115
M orelos,43,38,40,35,58,57,42,35,66,51,43,38
Nayarit,39,26,25,34,43,25,41,50,33,47,35,21
Nuevo Le¢n,130,110,127,133,147,146,185,134,124,137,97,75
Oaxaca,173,140,162,180,195,158,195,150,159,200,150,133
Puebla,197,205,182,221,255,244,227,151,197,241,176,173
Quer‚taro,37,48,53,57,67,62,50,55,71,54,57,42
Quintana Roo,88,61,57,80,75,70,72,59,54,90,70,42
San Luis Potos¡,133,149,134,143,188,142,161,129,128,172,126,105
Sinaloa,56,43,48,65,71,83,103,63,57,80,33,46
Sonora,92,93,89,102,175,118,153,120,88,114,95,79
Tabasco,18,30,24,28,45,34,37,38,27,37,32,17
Tamaulipas,130,112,98,107,197,131,131,81,97,108,88,69
Tlaxcala,34,24,36,39,43,32,55,28,49,48,35,30
Veracruz,301,213,211,242,328,285,322,224,213,270,226,172
Yucat n,82,91,64,111,121,109,96,74,70,102,69,87
Zacatecas,34,39,49,48,60,55,58,38,41,55,45,75
