Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,4,129,209,159,81,57,148,20,49,21,34,0,911
Baja California,3,192,317,308,155,115,457,97,131,51,103,1,1 930
Baja California Sur,0,50,92,75,39,25,141,33,50,20,26,0,551
Campeche,2,54,134,99,58,51,161,45,84,25,64,0,777
Coahuila,10,336,588,451,247,129,465,83,164,60,140,2,2 675
Colima,2,51,123,79,36,35,134,25,39,17,41,0,582
Chiapas,6,115,291,255,155,140,451,71,129,56,130,0,1 799
Chihuahua,12,371,703,518,258,264,710,194,279,122,260,7,3 698
Distrito Federal,20,971,1 496,1 302,1 095,969,2 317,547,866,340,669,1,10 593
Durango,2,280,432,359,187,113,226,79,87,49,81,0,1 895
Guanajuato,11,544,1 086,737,409,308,863,168,297,130,390,0,4 943
Guerrero,1,302,636,537,305,255,759,167,294,132,300,5,3 693
Hidalgo,3,267,499,413,303,222,674,148,269,124,287,2,3 211
Jalisco,33,755,1 217,931,526,413,1 210,231,346,146,383,5,6 196
M‚xico,34,1 365,2 059,1 924,1 416,1 009,2 960,623,930,393,819,6,13 538
Michoac n,15,416,713,544,290,222,681,158,242,118,295,3,3 697
Morelos,3,137,297,231,136,108,290,59,91,49,120,1,1 522
Nayarit,3,125,194,117,84,51,176,32,72,26,58,0,938
Nuevo Le¢n,22,433,841,712,500,372,816,275,329,133,216,2,4 651
Oaxaca,137,258,563,484,328,242,817,209,347,173,506,1,4 065
Puebla,5,498,1 012,911,637,487,1 447,314,548,225,579,3,6 666
Quer‚taro,6,111,214,159,107,84,254,40,68,24,64,0,1 131
Quintana Roo,4,109,255,185,113,123,375,61,91,33,49,1,1 399
San Luis Potos¡,9,327,682,516,349,240,694,153,261,126,292,0,3 649
Sinaloa,3,171,302,253,103,81,264,71,124,34,114,1,1 521
Sonora,12,384,611,543,327,262,582,178,206,80,184,3,3 372
Tabasco,3,88,161,123,71,75,270,50,86,38,76,1,1 042
Tamaulipas,11,249,505,351,230,140,493,106,187,91,182,2,2 547
Tlaxcala,1,88,159,116,90,91,254,44,93,34,87,0,1 057
Veracruz,12,419,862,735,468,349,1 154,307,506,222,526,3,5 563
Yucat n,1,216,387,322,218,194,525,114,151,69,136,0,2 333
Zacatecas,5,129,248,176,93,66,208,47,63,37,90,1,1 163
