Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,30,37,50,50,49,52,41,59,59,36,38,35
Baja California,72,56,68,67,80,63,74,101,63,89,97,70
Baja California Sur,20,23,26,35,41,37,42,41,38,33,29,30
Campeche,39,51,73,42,64,47,40,50,44,48,70,28
Coahuila,67,81,110,84,133,82,100,99,67,79,101,71
Colima,12,24,33,43,27,38,35,36,27,43,34,20
Chiapas,116,158,188,145,156,143,108,115,97,108,125,102
Chihuahua,141,192,214,176,286,208,215,265,220,167,173,146
Distrito Federal,804,828,1 089,936,1 115,845,896,988,812,776,849,605
Durango,113,114,153,142,177,137,156,217,126,147,147,62
Guanajuato,239,260,353,309,320,319,257,342,264,239,250,200
Guerrero,126,190,230,206,260,183,184,229,153,166,204,143
Hidalgo,167,193,300,216,266,197,177,262,173,191,220,150
Jalisco,365,343,439,417,446,318,417,367,302,295,372,243
M‚xico,826,806,1 093,933,1 115,925,862,1 023,709,694,790,503
Michoac n,178,176,238,183,265,229,185,239,249,228,203,155
Morelos,90,84,109,92,113,97,95,105,89,99,86,70
Nayarit,37,30,55,49,76,54,42,44,52,41,40,30
Nuevo Le¢n,137,131,242,171,284,225,199,240,235,186,194,166
Oaxaca,165,166,261,203,251,172,171,231,153,181,221,142
Puebla,433,474,623,527,637,515,517,578,455,415,498,355
Quer‚taro,51,69,69,60,83,75,60,70,73,46,71,48
Quintana Roo,71,81,134,63,110,86,92,100,62,90,106,59
San Luis Potos¡,151,136,253,179,223,206,212,243,185,173,158,141
Sinaloa,54,56,98,96,128,100,119,126,82,72,96,67
Sonora,38,31,76,58,91,86,94,157,108,126,136,104
Tabasco,61,68,88,65,87,75,96,106,64,57,59,49
Tamaulipas,113,137,130,129,202,205,149,159,164,127,166,82
Tlaxcala,56,80,116,89,94,86,112,129,73,79,76,43
Veracruz,269,369,462,373,523,389,364,405,323,308,360,213
Yucat n,122,127,182,161,178,123,108,141,148,142,147,75
Zacatecas,63,51,63,47,79,47,55,62,131,67,68,52
