Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,0,66,64,33,34,19,42,8,14,5,12,0,297
Baja California,2,111,138,115,68,63,176,28,48,25,58,0,832
Baja California Sur,2,19,50,39,17,20,57,16,17,10,12,0,259
Campeche,1,38,68,67,34,31,125,21,26,16,20,0,447
Coahuila,1,88,137,108,50,52,178,38,51,19,37,0,759
Colima,5,41,51,25,14,27,66,10,24,13,18,0,294
Chiapas,2,75,198,180,132,100,328,76,119,46,68,0,1 324
Chihuahua,2,174,301,231,128,101,323,77,105,51,110,7,1 610
Distrito Federal,11,748,849,805,793,618,2 057,479,676,229,485,5,7 755
Durango,1,211,245,156,85,68,187,43,43,24,39,1,1 103
Guanajuato,13,269,464,326,234,200,551,126,191,95,180,1,2 650
Guerrero,6,108,322,283,144,109,417,99,165,89,195,1,1 938
Hidalgo,4,162,282,258,200,142,574,124,177,81,180,1,2 185
Jalisco,17,370,460,361,208,173,564,130,225,69,182,5,2 764
M‚xico,16,653,1 153,1 000,760,578,2 257,466,574,259,453,2,8 171
Michoac n,1,197,375,261,164,124,383,104,168,62,193,1,2 033
Morelos,3,77,168,120,68,59,217,55,65,31,79,1,943
Nayarit,1,33,70,50,42,25,92,15,36,16,28,0,408
Nuevo Le¢n,8,198,378,225,161,128,390,97,146,54,91,2,1 878
Oaxaca,2,108,291,287,169,176,524,139,224,119,251,1,2 291
Puebla,11,369,698,646,465,403,1 207,282,357,158,396,4,4 996
Quer‚taro,2,67,111,81,65,46,122,35,49,23,36,0,637
Quintana Roo,2,60,112,101,64,67,181,28,34,11,26,4,690
San Luis Potos¡,4,147,288,234,161,117,389,83,150,52,143,4,1 772
Sinaloa,4,83,153,125,47,60,166,42,95,33,65,3,876
Sonora,4,97,122,98,53,53,160,58,76,39,59,0,819
Tabasco,0,60,104,90,80,61,216,31,46,24,34,0,746
Tamaulipas,4,133,208,198,107,83,326,87,152,46,85,1,1 430
Tlaxcala,0,47,107,92,100,73,202,39,71,32,76,1,840
Veracruz,3,245,561,462,337,257,1 000,213,408,162,348,2,3 998
Yucat n,3,107,206,173,144,95,320,58,104,32,80,0,1 322
Zacatecas,8,66,92,66,42,32,110,32,32,18,38,0,536
