Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,29,32,17,17,25,20,28,27,28,21,15,23
Baja California,84,81,63,65,56,80,85,90,85,60,52,40
Baja California Sur,11,18,19,23,31,20,29,35,28,27,9,22
Campeche,38,32,30,44,30,33,46,26,29,32,30,18
Coahuila,71,77,81,89,91,88,94,80,55,82,46,57
Colima,16,17,14,14,25,21,18,14,29,20,13,12
Chiapas,119,99,115,92,89,88,124,72,67,78,64,38
Chihuahua,110,89,108,128,98,114,125,84,79,87,94,115
Distrito Federal,573,482,554,605,525,550,599,460,473,535,389,351
Durango,81,82,79,136,134,87,111,74,75,101,90,43
Guanajuato,188,183,241,249,211,197,238,192,173,179,126,121
Guerrero,152,138,162,192,141,162,166,120,159,160,120,92
Hidalgo,128,171,179,213,168,141,200,176,153,157,117,103
Jalisco,189,176,214,240,185,189,249,208,206,194,167,125
M‚xico,640,594,628,693,610,626,677,551,624,663,506,407
Michoac n,151,138,117,176,123,142,168,153,183,162,144,107
Morelos,84,49,76,77,69,69,64,72,80,51,50,42
Nayarit,38,37,33,45,29,33,41,36,35,45,22,34
Nuevo Le¢n,130,144,150,196,144,145,191,130,152,163,133,87
Oaxaca,177,160,192,256,180,209,215,146,162,222,129,139
Puebla,336,324,372,446,363,361,414,356,374,409,282,240
Quer‚taro,42,42,50,52,39,46,56,60,37,54,29,38
Quintana Roo,56,44,47,55,46,65,58,60,67,54,39,36
San Luis Potos¡,97,122,154,155,160,166,150,103,124,159,127,98
Sinaloa,60,61,51,70,58,59,85,57,68,68,43,26
Sonora,79,84,103,117,129,104,159,99,96,86,76,70
Tabasco,46,57,52,56,49,62,62,54,48,53,44,29
Tamaulipas,115,114,125,139,123,142,177,100,132,148,75,54
Tlaxcala,64,42,58,65,59,53,53,48,57,65,50,40
Veracruz,297,280,316,366,322,354,386,232,254,309,216,187
Yucat n,113,76,74,96,82,101,87,76,107,83,57,56
Zacatecas,47,33,42,38,44,47,60,45,42,43,32,29
