ESTADO,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,TOTAL
Aguascalientes,286,81,5,S/ R,0,S/ R,1,S/ R,8,3 8 1
Baja California,349,348,30,16,S/ R,S/ R,1,7,46,7 9 7
Baja California Sur,182,22,37,S/ R,S/ R,S/ R,0,0,S/ R,2 4 1
Campeche,199,40,23,41,0,4,0,0,34,3 4 1
Coahuila,429,335,23,123,0,S/ R,3,S/ R,182,1 0 9 5
Colima,172,78,7,S/ R,0,S/ R,0,4,4,2 6 5
Chiapas,497,30,33,223,S/ R,6,8,0,5,8 0 2
Chihuahua,743,540,28,115,S/ R,S/ R,2,S/ R,144,1 5 7 2
Distrito Federal,3 958,224,394,0,6,51,35,8,55,4 7 3 1
Durango,616,29,12,105,0,S/ R,2,S/ R,0,7 6 4
Guanajuato,1 897,183,34,0,S/ R,20,0,S/ R,25,2 1 5 9
Guerrero,1 289,323,131,1,S/ R,S/ R,0,7,1,1 7 5 2
Hidalgo,1 257,46,18,160,8,11,0,S/ R,9,1 5 0 9
Jalisco,1 445,650,26,0,0,0,1,1,320,2 4 4 3
M ‚xico,5 503,284,108,7,115,S/ R,37,S/ R,187,6 2 4 1
M ichoac n,954,248,34,377,S/ R,S/ R,0,2,S/ R,1 6 1 5
M orelos,582,73,16,1,S/ R,S/ R,1,S/ R,S/ R,6 7 3
Nayarit,216,65,21,76,3,S/ R,0,0,1,3 8 2
Nuevo Le¢n,1 304,357,8,0,S/ R,19,2,S/ R,413,2 1 0 3
Oaxaca,781,41,69,1 063,0,22,4,2,7,1 9 8 9
Puebla,2 202,231,76,437,0,7,3,S/ R,148,3 1 0 4
Quer‚taro,280,176,33,0,0,S/ R,0,S/ R,4,4 9 3
Quintana Roo,373,188,39,S/ R,S/ R,S/ R,0,0,S/ R,6 0 0
San Luis Potos¡,1 034,233,48,344,S/ R,1,0,S/ R,3,1 6 6 3
Sinaloa,348,99,49,79,2,0,0,1,93,6 7 1
Sonora,1 007,154,24,2,S/ R,S/ R,3,9,202,1 4 0 1
Tabasco,380,8,5,S/ R,S/ R,51,0,1,35,4 8 0
Tamaulipas,854,130,14,132,1,81,3,1,1,1 2 1 7
Tlaxcala,462,31,44,1,0,S/ R,0,S/ R,0,5 3 8
Veracruz,1 728,250,48,481,2,115,8,11,0,2 6 4 3
Yucat n,629,124,26,245,0,S/ R,3,0,12,1 0 3 9
Zacatecas,286,43,16,130,0,S/ R,0,S/ R,8,4 8 3
