Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,5,87,123,105,33,36,98,6,21,5,16,1,536
Baja California,1,108,198,170,67,63,164,29,34,21,43,2,900
Baja California Sur,2,47,90,65,39,15,84,11,25,7,10,0,395
Campeche,1,55,128,106,51,39,130,17,30,15,22,2,596
Coahuila,4,142,243,211,80,60,176,27,55,24,50,2,1 074
Colima,1,34,78,77,28,27,68,14,18,9,18,0,372
Chiapas,3,115,283,276,164,109,319,67,88,50,86,1,1 561
Chihuahua,6,271,583,468,172,116,381,70,120,69,135,12,2 403
Distrito Federal,24,1 062,1 648,1 640,1 149,904,2 214,376,671,258,594,3,10 543
Durango,0,293,398,311,118,112,187,64,72,44,92,0,1 691
Guanajuato,10,448,817,591,246,171,523,94,152,79,220,1,3 352
Guerrero,5,186,498,457,161,126,363,58,138,74,203,5,2 274
Hidalgo,1,221,496,404,208,159,416,99,173,114,220,1,2 512
Jalisco,22,578,964,728,318,303,747,114,211,83,251,5,4 324
M‚xico,18,1 081,2 046,1 943,1 092,723,1 811,345,496,263,457,4,10 279
Michoac n,7,282,551,503,191,137,373,81,142,47,214,0,2 528
Morelos,6,124,236,210,100,56,185,32,65,28,87,0,1 129
Nayarit,0,85,132,95,34,26,81,11,27,19,40,0,550
Nuevo Le¢n,19,310,557,386,228,150,394,84,100,65,114,3,2 410
Oaxaca,4,187,414,389,191,113,413,89,168,90,259,0,2 317
Puebla,11,566,1 120,1 107,583,445,1 116,209,280,168,413,9,6 027
Quer‚taro,5,107,159,130,57,60,141,18,44,17,37,0,775
Quintana Roo,4,95,225,193,82,77,245,27,53,18,35,0,1 054
San Luis Potos¡,10,254,453,455,191,115,353,74,106,67,178,4,2 260
Sinaloa,3,155,291,217,66,44,147,29,40,28,74,0,1 094
Sonora,5,169,277,170,59,46,158,43,64,37,76,1,1 105
Tabasco,2,74,138,175,73,78,175,44,45,12,59,0,875
Tamaulipas,8,199,412,341,131,100,283,55,89,38,105,2,1 763
Tlaxcala,1,98,197,195,108,60,167,38,67,23,79,0,1 033
Veracruz,11,416,862,772,369,254,762,167,275,146,319,5,4 358
Yucat n,3,163,314,276,188,134,280,47,100,38,110,1,1 654
Zacatecas,16,112,168,132,46,45,129,20,39,20,58,0,785
