Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalient es,1,78,168,150,52,53,96,5,22,5,18,0,648
Baja California,3,112,221,191,88,96,288,55,81,33,45,0,1 213
Baja California Sur,0,33,71,71,36,26,77,19,30,8,17,0,388
Campeche,1,48,78,74,39,39,110,15,35,11,18,0,468
Coahuila,8,191,384,248,123,90,250,45,90,27,69,0,1 525
Colima,2,40,77,62,36,31,77,17,19,4,16,0,381
Chiapas,1,96,185,166,104,82,214,40,64,30,72,0,1 054
Chihuahua,5,229,432,346,132,92,349,92,155,46,130,2,2 010
Dist rit o Federal,7,673,998,880,705,517,1 337,256,451,178,397,0,6 399
Durango,0,199,319,260,132,82,133,48,50,34,39,0,1 296
Guanajuat o,6,400,705,641,276,224,543,89,146,59,164,0,3 253
Guerrero,1,136,285,275,129,123,277,77,81,40,151,1,1 576
Hidalgo,2,186,335,301,176,116,338,66,118,74,168,1,1 881
Jalisco,19,524,839,758,364,273,766,120,203,84,234,4,4 188
M ‚xico,19,774,1 398,1 326,809,603,1 524,327,428,187,402,5,7 802
M ichoac n,5,272,488,434,213,178,408,69,130,53,155,1,2 406
M orelos,2,99,168,137,60,51,130,32,39,18,74,4,814
Nayarit,3,108,142,110,62,42,109,15,35,13,42,0,681
Nuevo Le¢n,9,270,520,445,210,181,526,96,191,101,172,0,2 721
Oaxaca,7,174,391,373,184,139,349,91,163,74,304,1,2 250
Puebla,9,269,654,583,327,244,662,122,229,109,268,3,3 479
Quer‚t aro,2,95,159,114,63,48,133,21,41,22,40,0,738
Quint ana Roo,2,89,144,134,72,78,176,38,45,21,36,0,835
San Luis Pot os¡,3,238,428,372,210,147,394,73,125,61,192,0,2 243
Sinaloa,5,119,223,151,74,67,207,38,77,32,84,0,1 077
Sonora,11,282,405,329,151,160,329,82,111,41,79,0,1 980
Tabasco,2,49,90,80,63,28,84,29,45,21,46,1,538
Tamaulipas,9,173,291,261,121,83,243,64,100,41,102,2,1 490
Tlaxcala,1,50,87,72,80,36,90,15,31,14,34,0,510
Veracruz,7,278,552,489,246,186,534,130,258,123,302,1,3 106
Yucat  n,2,183,260,195,152,103,251,55,79,40,100,1,1 421
Zacat ecas,1,94,175,130,54,45,119,22,37,13,54,0,744
